Job Title,0
Media Planning Executive/Manager,0
Sales Executive/Officer,1
R&D Executive,2
Technical Support Engineer,3
Testing Engineer,4
System Analyst,5
Sales Executive/Officer,6
Technical Architect,7
Sales Executive/Officer,8
Associate/Senior Associate -(Technical),9
Corporate Planning/Strategy Manager,10
Webmaster,11
Process Flow Analyst,12
Software Developer,13
Social Media Marketing Manager,14
Senior Design Engineer,15
Accounts Manager,16
Software Developer,17
Software Developer,18
Sales Officer,19
Sales/Business Development Manager,20
Sales/Business Development Manager,21
Quality Assurance/Quality Control Executive,22
Software Developer,23
Software Developer,24
Graphic/Web Designer,25
Area Sales Manager,26
Software Developer,27
System Administrator,28
Project Manager-IT/Software,29
Software Developer,30
Project Lead,31
Logistics Executive,32
Accounts Executive/Accountant,33
Associate/Senior Associate -(NonTechnical),34
Technical Support Manager,35
Technical Architect,36
Software Developer,37
Sales/Business Development Manager,38
Associate/Senior Associate -(NonTechnical),39
Regional Manager,40
Head / VP/ GM/ National Manager After Sales,41
Software Developer,42
Software Developer,43
Associate/Senior Associate -(NonTechnical),44
Software Developer,45
Associate/Senior Associate -(NonTechnical),46
Software Developer,47
Team Leader -(NonTechnical),48
Content Developer,49
Sales/Business Development Manager,50
Software Developer,51
DBA,52
HR Executive,53
Software Developer,54
Head/VP/GM/National Manager -Sales,55
Centre Head / Branch Head / Club Manager,56
Associate/Senior Associate -(NonTechnical),57
Sales/Business Development Manager,58
HR Executive,59
Sales/Business Development Manager,60
Project Architect,61
Software Developer,62
System Analyst,63
Software Developer,64
Software Developer,65
Testing Engineer,66
Associate/Senior Associate -(NonTechnical),67
Front Office/Guest Relations Executive/Manager,68
Design Engineer,69
Software Developer,70
Technical Writer,71
Design Engineer,72
Sales/Business Development Manager,73
Accounts Executive/Accountant,74
Sales/Business Development Manager,75
Software Developer,76
Engineering Manager,77
Accounts Executive/Accountant,78
Training Manager,79
Software Developer,80
Software Developer,81
Software Developer,82
Sales/Business Development Manager,83
Testing Engineer,84
Graphic Designer,85
Sales Executive/Officer,86
Client Servicing Executive,87
Sales Executive / Officer,88
Software Developer,89
Recruitment Executive,90
Sales Coordinator,91
Solution Architect / Enterprise Architect,92
Software Developer,93
Workman/Foreman/Technician,94
Software Developer,95
Sales Executive/Officer,96
Design Engineer/Manager,97
Technical Lead/Project Lead,98
Team Leader -(NonTechnical),99
Quality Assurance/Quality Control Executive,100
Analytics Manager,101
Trainee,102
Accounts Executive/Accountant,103
Software Developer,104
Search Engine Optimisation /SEO Specialist,105
Engineering Manager,106
Financial Analyst,107
PPC /Pay Per Click Specialist,108
Medical Representative,109
Project Manager-Production/Manufacturing/Maintenance,110
Public Relations & Media Relations Manager,111
Fresher,112
Fresher,113
Software Developer,114
Other,115
Lecturer/Professor,116
Documentation/Medical Writing,117
Software Developer,118
Sales/Business Development Manager,119
Associate/Senior Associate -(NonTechnical),120
Associate/Senior Associate -(NonTechnical),121
IT/Networking-Manager,122
Sales Executive/Officer,123
Sales Trainer,124
Associate/Senior Associate -(Technical),125
Trainer,126
Sales/Business Development Manager,127
Technical Support Engineer,128
Software Developer,129
Senior Design Engineer,130
Head/VP/GM-Technology(IT)/CTO,131
Associate/Senior Associate -(Technical),132
Business Analyst,133
Software Developer,134
Restaurant Manager,135
Graphic Designer,136
Head/VP/GM/National Manager -Sales,137
Web Designer,138
Graphic/Web Designer,139
Software Developer,140
Graphic/Web Designer,141
Head/VP/GM-Operations,142
Head/VP/GM/National Manager -Sales,143
Head/VP/GM-Operations,144
Research Scientist,145
Accounts Manager,146
Sales/Business Development Manager,147
Testing Engineer,148
Quality Assurance/Quality Control Executive,149
Sales Executive/Officer,150
Software Developer,151
Associate/Senior Associate -(NonTechnical),152
Software Developer,153
Associate/Senior Associate -(NonTechnical),154
Sales/Business Development Manager,155
Software Developer,156
Merchandiser,157
Team Lead/Technical Lead,158
Executive/ Sr Executive - Administration,159
Associate/Senior Associate -(NonTechnical),160
DaycareTeacher / Incharge / Attendant,161
Associate/Senior Associate -(Technical),162
Social Media Marketing Manager,163
Team Lead/Technical Lead,164
Sales / BD Manager,165
Technical Support Engineer,166
Graphic Designer,167
Testing Engineer,168
Team Lead/Technical Lead,169
Graphic/Web Designer,170
Associate/Senior Associate -(NonTechnical),171
Software Developer,172
Sales/Business Development Manager,173
Client Servicing/Key Account Manager,174
Logistics Manager,175
Associate/Senior Associate -(NonTechnical),176
Software Developer,177
Executive/ Sr Executive - Administration,178
Head/VP/GM-Finance/Audit,179
Accounts Manager,180
Associate/Senior Associate -(NonTechnical),181
Software Developer,182
Client Servicing/Key Account Manager,183
Software Developer,184
Project Manager-IT/Software,185
Lecturer/Professor,186
Financial Analyst,187
Head/VP/GM/National Manager -Sales,188
Technical Architect,189
Project Manager-IT/Software,190
Fresher,191
Sales/Business Development Manager,192
Software Developer,193
Software Developer,194
Sales/Business Development Manager,195
Software Developer,196
Associate/Senior Associate -(NonTechnical),197
Associate/Senior Associate -(Technical),198
Outside Consultant,199
Purchase Executive,200
Software Developer,201
Associate/Senior Associate -(Technical),202
Trainer,203
Software Developer,204
Purchase/Vendor Development Manager,205
Software Developer,206
Telecalling/Telemarketing Executive,207
Cashier,208
Fresher,209
Trainee,210
Testing Engineer,211
Production Manager,212
Associate/Senior Associate -(NonTechnical),213
Content Developer,214
Software Developer,215
Visualiser,216
Graphic/Web Designer,217
Accounts Executive/Accountant,218
Accounts Manager,219
Sales Executive/Officer,220
Software Developer,221
Sales Officer,222
Sales/Business Development Manager,223
Software Developer,224
Creative Director,225
Associate/Senior Associate -(NonTechnical),226
Associate/Senior Associate -(NonTechnical),227
Associate/Senior Associate -(Technical),228
Solution Architect / Enterprise Architect,229
Architect,230
Software Developer,231
Voice & Accent Trainer,232
Sales/Business Development Manager,233
Software Developer,234
Technical Architect,235
Sales Executive/Officer,236
Sales/Business Development Manager,237
Sales/Business Development Manager,238
Finance/Budgeting Manager,239
Associate/Senior Associate -(NonTechnical),240
Software Developer,241
Outside Technical Consultant,242
Software Developer,243
CSR Manager,244
Software Developer,245
Sales Officer,246
Surgeon,247
Software Developer,248
Software Developer,249
Associate/Senior Associate -(NonTechnical),250
Testing Engineer,251
Sales/Business Development Manager,252
Software Developer,253
Accounts Executive/Accountant,254
Business Analyst,255
Recruitment Executive,256
Software Developer,257
Medical Representative,258
Software Developer,259
"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",260
Software Developer,261
Associate/Senior Associate -(NonTechnical),262
Proof Reader,263
Associate/Senior Associate -(NonTechnical),264
Associate/Senior Associate -(Technical),265
Software Developer,266
Software Developer,267
Nurse,268
Direct Marketing Executive,269
HR Executive,270
Software Developer,271
