movieId,title,genres
4054,""Complete Electrical Substations for Electrical Engineering" by Ahmed Mahdy",Math-And-Logic|Electrical-And-Mechanical-Engineering
4069,""Electrical Engineering: Power Electronics" by Nathan Slaughter",Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4148,""Nutrition Masterclass: Build Your Perfect Diet & Meal Plan" by Felix Harder",Health|Physics-And-Astronomy
4149,""Electrical Machines for Electrical Engineering" by Ahmed Mahdy",Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4153,""Digital Electronics - RoboGrok Automation" by Terry Sturtevant",Arts-And-Humanities|Language-Learning|Electrical-And-Mechanical-Engineering
4161,""The Complete Graphic Design Theory for Beginners Course" by Lindsay Marsh",Course-Difficulty|Arts-And-Humanities
4167,""Classical Physics: Journey Through the Laws of the Universe" by Paul Duxbury",Physics-And-Astronomy
4223,""Algebra 1, 2, and Precalculus in a Year: First Half" by Dana Mosely",Math-And-Logic
4228,""Analog Electronics - RoboGrok Automation" by Terry Sturtevant",Arts-And-Humanities|Computer-Science|Electrical-And-Mechanical-Engineering
4232,""Digital Painting - Create Amazing Concept Art with Photoshop" by Austin Batchelor",Course-Difficulty|Business-And-Management|Environmental-Science|Arts-And-Humanities
4238,""Modern Physics: Quantum Mechanics, Relativity, and String Theory" by Ben Brubaker",Course-Difficulty|Computer-Science|Social-Science|Physics-And-Astronomy
4239,""Linear Algebra - Foundations to Frontiers" by The University of Texas at Austin",Computer-Science|Math-And-Logic
4246,"Bridget Jones's Diary (2001)",Arts-And-Humanities|Math-And-Logic|Electrical-And-Mechanical-Engineering
4247,""Power Systems Analysis - A Practical Approach" by Ahmed Mahdy",Business-And-Management|Arts-And-Humanities|Social-Science|Electrical-And-Mechanical-Engineering
4254,""Mathematics for Machine Learning" by Imperial College London",Arts-And-Humanities|Math-And-Logic
4270,""The Ultimate Guide to Telescopes & Binoculars" by Chris Miller",Course-Difficulty|Business-And-Management|Arts-And-Humanities|Physics-And-Astronomy
4299,""Introduction to Aerospace Engineering with a Flight Test Perspective" by Dr. G. C. Reddy",Course-Difficulty|Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4306,""HVAC Simplified Course: Heating, Ventilation, and Air Conditioning" by Ahmed Mahdy",Business-And-Management|Design|Environmental-Science|Arts-And-Humanities|Language-Learning|Electrical-And-Mechanical-Engineering
4308,""Engineering Mechanics - The Ultimate Guide" by Fadi A. Fouad",Math-And-Logic|Electrical-And-Mechanical-Engineering
4310,""Complete Vehicle Dynamics for Mechanical Engineers" by Sharif Salah",Course-Difficulty|Math-And-Logic|Electrical-And-Mechanical-Engineering
4340,""Music Theory Comprehensive: Part 1 - How to Read Music" by Jason Allen",Arts-And-Humanities
4343,""The Science of Happiness: A Positive Psychology Course" by Taylor Johnson",Arts-And-Humanities|Digital-Marketing
4344,""Topology: The Complete Course" by Tadashi Tokieda",Course-Difficulty|Computer-Science|Math-And-Logic
4366,""Learn Spanish - Conversational Spanish Rapid-Learning Method" by Patrick Jackson",Business-And-Management|Design|Environmental-Science|Language-Learning
4367,""Introduction to Psychology: The Full University Course!" by Andrew Luttrell",Course-Difficulty|Business-And-Management
4368,""Creative Writing: Crafting Personal Essays with Impact" by Roxane Gay",Arts-And-Humanities
4369,""Astronomy: State of the Art" by Chris Impey",Course-Difficulty|Computer-Science|Physics-And-Astronomy
4370,""An Entire MBA in 1 Course: Award Winning Business School Prof" by Chris Haroun",Business-And-Management|Math-And-Logic|Digital-Marketing
4386,""The Complete Drawing Masterclass: From Beginner to Advanced" by Quinton Batchelor",Environmental-Science|Arts-And-Humanities
4388,""The Complete Works of William Shakespeare" by Barry M. Putt Jr.",Arts-And-Humanities
4446,"Final Language-Learning: The Spirits Within (2001)",Business-And-Management|Design|Language-Learning|Digital-Marketing
4447,""Philosophy for Beginners!" by Marianne Talbot",Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4448,""Logic Pro X Masterclass: The Complete Guide to Logic Pro X" by Martin Svensson",Course-Difficulty|Math-And-Logic
4638,""Physics 101: The Complete Physics Bootcamp" by Chad Neuman",Course-Difficulty|Business-And-Management|Digital-Marketing|Physics-And-Astronomy
4639,"America's Sweethearts (2001)",Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4641,"Ghost World (2001)",Arts-And-Humanities|Math-And-Logic
4643,""The Complete Financial Analyst Course" by 365 Careers",Course-Difficulty|Business-And-Management|Math-And-Logic|Digital-Marketing
4700,"Princess Diaries, The (2001)",Environmental-Science|Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4701,""Fashion as Design" by The Museum of Modern Art",Course-Difficulty|Arts-And-Humanities
4718,""Interior Design 101" by Lauren Cox",Arts-And-Humanities
4720,""Psychology 101: How To Understand Yourself and Others" by Andrew Luttrell",Math-And-Logic|Health|Social-Science|Physics-And-Astronomy
4728,""Digital Art & Animation for Beginners: A Course in Creativity" by Jaysen Batchelor",Arts-And-Humanities
4734,""Photoshop CC 2022 MasterClass: Be a Creative Professional" by Phil Ebiner",Business-And-Management|Arts-And-Humanities
4776,""Complete Python Bootcamp: Go from zero to hero in Python 3" by Jose Portilla",Computer-Science|Math-And-Logic|Physics-And-Astronomy
4816,""Character Art School: Complete Coloring and Painting Course" by Scott Harris",Arts-And-Humanities
4823,""Piano For All - Udemy's Top Piano Instructor - PAID" by Robin Hall",Arts-And-Humanities|Electrical-And-Mechanical-Engineering
4848,""JavaScript - The Complete Guide 2022 (Beginner + Advanced)" by Maximilian Schwarzmüller",Computer-Science|Math-And-Logic|Social-Science|Physics-And-Astronomy
4865,""Java Programming Masterclass for Software Developers" by Tim Buchalka",Computer-Science|Health|Social-Science|Physics-And-Astronomy
4873,""Graphic Design Bootcamp: Photoshop, Illustrator, InDesign" by Derrick Mitchell",Design|Math-And-Logic|Language-Learning
4874,""French for Beginners: The COMPLETE Crash Course" by Ysis Challenges",Math-And-Logic|Language-Learning|Social-Science|Digital-Marketing
4876,""Complete Fitness Trainer Certification: Beginner to Advanced" by Felix Harder",Health|Physics-And-Astronomy
4878,""Political Science - A Complete Introduction" by Peter Joyce",Math-And-Logic|Social-Science|Digital-Marketing|Physics-And-Astronomy
4881,""The Web Developer Bootcamp 2022" by Colt Steele",Computer-Science|Math-And-Logic
4886,""The Complete Web Design Course - Build 20 Websites" by Rob Percival",Business-And-Management|Design|Environmental-Science|Arts-And-Humanities|Language-Learning
4887,""Digital Marketing Masterclass: Get Your First 1,000 Customers" by Evan Kimbrell",Course-Difficulty|Digital-Marketing|Physics-And-Astronomy
4890,""Japanese In Context - Elementary Japanese Course" by Akiko Yano",Arts-And-Humanities|Language-Learning|Electrical-And-Mechanical-Engineering
4896,""Complete Russian Course: Learn Russian for Beginners" by AbcEdu Online",Business-And-Management|Environmental-Science|Language-Learning
4901,""The Inexplicable Universe: Unsolved Mysteries" by Neil deGrasse Tyson",Course-Difficulty|Computer-Science|Math-And-Logic|Physics-And-Astronomy
4902,""Korean for Beginners: Master Korean Language" by AbcEdu Online",Math-And-Logic|Language-Learning|Health|Physics-And-Astronomy
4903,""Symbolic Logic: A First Course" by Brian Rabern",Math-And-Logic
